seccion,tema,informacion
Negocio,Qué es TÉRMYCAL,"Negocio unipersonal de Alejandro Rodríguez Medina: termos, calentadores, calderas y aerotermos. Instalación, sustitución, reparación y mantenimiento. Zona: Granada capital + 20 km. Canal 100% B2C. WhatsApp del negocio: 644 962 421. Email: termycalgranada@gmail.com."
Negocio,Particularidad Leroy Merlin,"Es colaborador de Leroy Merlin, que le agenda trabajos con un software propio NO integrable. Por eso sus calendarios del CRM son de registro manual: protegen su ruta diaria y esa segunda agenda."
Negocio,Problema que resuelve el CRM,"Pierde leads por no poder atender WhatsApp mientras instala, y madruga para hacer presupuestos en Excel. El CRM automatiza la atención inicial y la proforma, con aprobación humana."
Negocio,Diagnóstico,"45 € + IVA, descontable de la factura final si repara o sustituye en el plazo de 1 mes. Retirada del aparato viejo y desplazamiento incluidos en los paquetes."
Negocio,Política de precios e IVA,"Todos los precios se comunican '+ IVA'. La proforma muestra Base + IVA 21% + Total. Aerotermia NUNCA se estima automáticamente (2.000-3.000 €+, siempre bajo presupuesto tras visita)."
Negocio,Paquetes orientativos calentadores gas,Estanco 11L instalado ≈ 478 €+IVA. Estanco 16L ≈ 578 €+IVA. Atmosférico 11L ≈ 356 €+IVA. Posibles extras 100-200 € se comunican como orientativos.
Negocio,Métodos de pago,"Tarjeta, Bizum (644 96 24 21), efectivo, transferencia y financiación La Caixa 0% TIN/TAE con comisión de apertura: 3m 2% / 6m 3,5% / 12m 4,5% / 18m 6,5% / 24m 8,5% / 36m 11%."
Negocio,Garantías,3 meses en reparaciones; en aparatos nuevos aplica la garantía del fabricante.
Reglas de oro,Aprobación humana,"NADA se envía al cliente final sin aprobación humana previa. El sistema propone, el humano aprueba. Regla de arquitectura innegociable."
Reglas de oro,Agendado manual,El agendado es 100% MANUAL: ningún bot ni automatización agenda citas ni toca calendarios. Solo el dueño anota.
Reglas de oro,Urgencias con riesgo,Olor a gas o fugas: derivación inmediata a un humano + pautas de seguridad. El bot no gestiona estas conversaciones.
Reglas de oro,Nomenclatura de marca,"De cara al cliente la plataforma se llama 'omnia CRM', nunca 'GHL' ni 'Go High Level'. La marca omnia va siempre en minúsculas."
Arquitectura,Tags existentes (8),"lead-whatsapp, lead-web, pide-presupuesto, pide-visita, derivado-humano, aprobar-proforma, resena-solicitada, frio. Siempre en minúsculas exactas con guiones. Ya existen: NO recrearlos."
