workflow,disparador,que_hace,notas_clave
LS01 WhatsApp entrante,Primer mensaje de WhatsApp de un contacto,"Registra fecha_primer_contacto (con guard si ya existía), marca fuente_contacto=WhatsApp, aplica tag lead-whatsapp y crea oportunidad en etapa Nuevo lead",5 nodos. Debe cubrir también contactos existentes que vuelven a escribir
LS02 Formulario web,Envío del formulario de la one-page,"Mapea campos del formulario, fuente_contacto=Web, tag lead-web y crea oportunidad en Nuevo lead",3 nodos. Depende de que la web esté publicada
SP-N Notificación lead caliente,Tag pide-presupuesto aplicado,"Notifica al dueño un resumen aprobable: paquete + importe + dirección + email, y mueve la oportunidad a Conversando",El dueño responde aplicando el tag aprobar-proforma desde la app
SP04 Envío automático proforma (CRÍTICO),Tag aprobar-proforma aplicado,"Guard estado_proforma=enviada (si ya enviada, STOP) → envía el documento de proforma por email → estado_proforma=enviada → mueve a Proforma enviada → quita el tag → confirmación interna","8 nodos. Es el corazón del flujo B. Si el envío de documento falla en validación, todo opera en flujo A manual"
SP-V Solicitud de visita,Tag pide-visita aplicado,WhatsApp al lead: 'en breves momentos te contactamos para cuadrar día y hora' + notificación interna + mueve a Conversando,4 nodos. El agendado en sí es manual del dueño
SP03 Citas: confirmación y recordatorios,Cita creada/confirmada manualmente en los calendarios,Confirmación por WhatsApp con día y franja + recordatorio 1 día antes + recordatorio 2 horas antes (plantillas Meta) + aviso interno,5 nodos. Los recordatorios usan waits relativos a la hora de la cita
SP06 Seguimiento post-proforma,Oportunidad entra en Proforma enviada,"Espera 2 días → si sigue en la misma etapa, seguimiento 1 (plantilla Meta) → espera 3 días más → si sigue igual, seguimiento 2 → nota + tag frio","8 nodos con guards de salida: si la oportunidad avanzó, se aborta"
AP01 Trabajo agendado,Oportunidad entra en Trabajo agendado,"Verifica que exista cita en el calendario de Instalaciones: si sí, confirmación al cliente; si no, recordatorio interno de agendar",4 nodos
AP02+PS01 Cierre y reseña,Oportunidad entra en Completado,"Espera 4 horas → encuesta de satisfacción 1-5 por WhatsApp (plantilla Meta) → espera la respuesta → nota 1-3: notificación interna, sin link; nota 4-5: agradecimiento + link de reseña Google + tag resena-solicitada",6 nodos. Necesita un paso de captura de la respuesta antes del IF
PS02 Reputación IA,Nueva reseña en Google,Respuesta a la reseña con IA supervisada + notificación interna,"Requiere la ficha de Google Business Profile conectada. Es configuración del módulo Reputation, no un workflow clásico"
